L,T,Magnetization,SpecificHeat,BinderCumulant,Correlations
16,1.5,0.8695562096895155,0.031798989310441,0.6461870677829988,0.07837413441051139
16,1.6,0.744382780860957,0.02665897475307515,0.6162562133359862,0.0790460759943182
16,1.7,0.834773651942403,0.024126792967331383,0.6315898777561532,0.02324662642045455
16,1.8,0.7753756843407829,0.020588429782406575,0.5868566545875193,0.017737926136363647
16,1.9,0.8077581277186141,0.018103566975159514,0.6206408748252812,0.023343172940340915
16,2.0,0.8619739716139193,0.017353540892666584,0.6464017817426927,0.01181085759943182
16,2.1,0.5772980491600419,0.010695373957973871,0.5551270343627455,0.08570889559659091
16,2.2,0.6270321640167992,0.010959081798638937,0.5289126440560348,0.09614146839488634
16,2.3,0.7024033954552272,0.010060033426854475,0.6249161221404228,0.07072476473721591
16,2.4,0.4252338945552722,0.005588080291938367,0.5152359820320568,0.10739357688210226
16,2.5,0.41927321602669865,0.0046524796529670235,0.49446411461141027,0.12792469371448864
16,2.6,0.35011823627568617,0.00389011171279566,0.5170159655746849,0.102392578125
16,2.7,0.20904525086245687,0.0026246788520393497,0.2983195503793669,0.11136585582386363
16,2.8,0.1737679522273886,0.0023395205110432276,0.3297116144815452,0.1514903675426136
16,2.9,0.17887273605069745,0.001979055958879107,0.3738583137758572,0.09985518022017041
16,3.0,0.16396031760911955,0.001822504433856133,0.31647197990150366,0.13459195223721596
16,3.1,0.15790835458227087,0.001615285107075028,0.20294180109355314,0.1364507501775568
16,3.2,0.11724515336733163,0.0013672261713647779,0.1149970073909579,0.15132557262073865
16,3.3,0.15014706295935204,0.0013475913150207092,0.25627908777255226,0.1407293146306818
16,3.4,0.14008608163341835,0.0011310726502399711,0.2721634132324476,0.11535478071732957
16,3.5,0.10216059509524522,0.0009699794069143828,0.18889079159709604,0.13044489080255683
32,1.5,0.1525725471538923,0.039937653910086725,0.5727700914441237,0.3653872750022194
32,1.6,0.25084112981850903,0.03508278011421965,0.6000056770461848,0.29744259227405895
32,1.7,0.11765728119844007,0.027592968120478012,0.475295304021169,0.31263351440429693
32,1.8,0.21848581399055042,0.02440976084249178,0.6095152352296532,0.32792247425426135
32,1.9,0.2269079221820159,0.01852722740853547,0.617771441665133,0.24417357011274854
32,2.0,0.218224440340483,0.01623766465826877,0.5073673680466128,0.26820734197443186
32,2.1,0.2536043607975852,0.013191566887961767,0.603566653532344,0.22824814536354765
32,2.2,0.1369123926616169,0.009525274296398987,0.510277732671954,0.21427764892578124
32,2.3,0.1650546476582421,0.008724753673107249,0.5571615686795501,0.21482269980690696
32,2.4,0.14664538257462126,0.007063193030333545,0.5130094386339551,0.21271421259099788
32,2.5,0.10212259894817759,0.005291007642374916,0.5009842871479504,0.22190849997780548
32,2.6,0.0968262231419679,0.004047542043150466,0.4327381183712335,0.2086862043900924
32,2.7,0.10533220409292036,0.0033853887445379183,0.47742839957330024,0.17260291359641336
32,2.8,0.10491767403817312,0.0026826572070396317,0.3587599319518682,0.16380254572088068
32,2.9,0.07378467990662965,0.002310130665635823,0.31376855455925706,0.1575492512096058
32,3.0,0.0868613014661767,0.0017171643735974201,0.4630842348240055,0.16095300154252484
32,3.1,0.09011001598357582,0.0013792292529311607,0.3740742047508013,0.14886706959117543
32,3.2,0.05709171572671366,0.0013110486900856644,0.30687044378002243,0.1568536931818182
32,3.3,0.07126090961076946,0.001159804558247068,0.4132056107649335,0.14557810696688564
32,3.4,0.07531817745050248,0.0008606513003814769,0.4019955925034434,0.1322762576016513
32,3.5,0.06588069034048298,0.0007471914170774928,0.4487172951442576,0.12185533696954899
64,1.5,0.06820877461986276,0.045382703943296805,0.5941081094157951,0.22173948721452194
64,1.6,0.05630708210683215,0.03871031627151495,0.6235902373486648,0.23103044033050535
64,1.7,0.05451162500468727,0.03237758155620376,0.4969796128084646,0.22224001450972128
64,1.8,0.051960902931415934,0.026184745017029675,0.5659490772839787,0.2129742383956909
64,1.9,0.06270422562856232,0.021552943635203967,0.6036943397525228,0.20327936302531846
64,2.0,0.05609804470713964,0.018246423360613433,0.545974159314928,0.20169539018110794
64,2.1,0.02724632078942928,0.015578332530077187,0.513995561386966,0.19240120974454006
64,2.2,0.04684091479019799,0.012846432051761109,0.5553093174327456,0.18827012018723924
64,2.3,0.035947255371606424,0.011160570720212832,0.481272246188518,0.19154410578987816
64,2.4,0.03319267386240063,0.009297670969650406,0.5118316058012713,0.19172871329567653
64,2.5,0.036794061175847464,0.0075153278785589596,0.5228109348704193,0.17234518961472947
64,2.6,0.03226366513705565,0.006319091133301577,0.5331798906124691,0.1653245622461492
64,2.7,0.04889154223929428,0.005283487228899361,0.5682206120314528,0.1721857027574019
64,2.8,0.027952464681453425,0.00470192986210796,0.4561642607908709,0.15797757452184505
64,2.9,0.03713579213617444,0.003995770684203957,0.5745037782898459,0.15687089833346282
64,3.0,0.03589037100879331,0.0029992383506654108,0.49689361408774096,0.14412316842512649
64,3.1,0.03566769659563897,0.0028346401460392226,0.37354343872656537,0.1506552306088534
64,3.2,0.030346485605407238,0.0024484337785458565,0.3996293577342073,0.14041371345520018
64,3.3,0.03513953696846407,0.0021299364882170673,0.4837623557779457,0.13679464080116965
64,3.4,0.03203935018092846,0.0018811138892162998,0.4694616912224907,0.13746639165011318
64,3.5,0.02320448430703465,0.0015840479458521669,0.3858127883574691,0.1380045999180187
